id,ra,dec,separation_arcmin,total_flux_mjy,spectral_index,spectral_curvature,bmaj,bmin,pa,redshift,radioclass
4943,242.60736083984375,55.08000564575195,2.089552369312757,290.1678258938788,-0.5976281220661211,-0.005663832304781869,-100.0,-100.0,-100.0,0.24774138629436493,6
6647,242.1952362060547,54.84638214111328,17.990777839607365,196.21067312446604,-1.0602241917783763,-0.45690208055102877,-100.0,-100.0,-100.0,0.30472734570503235,6
8395,241.6568603515625,54.83833312988281,34.24210616275931,130.5697346517366,-2.2014373497369037,-2.0866462700062716,-100.0,-100.0,-100.0,0.3727837800979614,4
3310,243.00172424316406,55.14866256713867,15.655056950588044,105.00342569384384,-1.2152630094064292,-0.3395971034971156,-100.0,-100.0,-100.0,0.18221594393253326,6
15096,242.83018493652344,55.621009826660156,35.3759354109911,104.20219138609714,-3.423396530604172,-2.2832821777795003,-100.0,-100.0,-100.0,0.5429530739784241,6
27148,242.37388610839844,54.77803039550781,17.7381691599759,100.42705095856535,-1.098436531845161,-0.44324302682706457,-100.0,-100.0,-100.0,1.1765958070755005,6
27192,242.4631805419922,54.73664855957031,19.159832536521336,70.09606200250717,-1.3116860149667902,-0.5236184352457097,-100.0,-100.0,-100.0,1.2343318462371826,6
18988,242.85855102539062,55.15412139892578,11.449489732209608,68.938474108341,-1.1084641231757508,-0.17691465788579555,-100.0,-100.0,-100.0,0.6930854320526123,6
37418,243.2599639892578,54.54322814941406,38.37320564327091,35.44725229538205,-3.2528299506483234,-2.89114606262002,-100.0,-100.0,-100.0,2.469733238220215,6
18987,243.2344970703125,55.29814910888672,26.946985258937058,27.66826239935765,-2.0707852882538145,-1.135493793305162,-100.0,-100.0,-100.0,0.7246481776237488,6
20076,242.7466278076172,55.574913024902344,32.07412021429563,27.23980548462715,-2.4181823086858825,-1.7525438285741164,-100.0,-100.0,-100.0,0.7749364972114563,5
17813,242.47361755371094,55.03286361694336,3.7947117839379736,25.176686424994397,-0.7915332444904866,-0.01890426173773692,-100.0,-100.0,-100.0,0.6295462846755981,6
24976,242.2902374267578,54.81199645996094,17.37600524952061,25.00572142411579,-1.443198241440243,-0.4239592987546039,-100.0,-100.0,-100.0,1.0358803272247314,6
36282,242.62254333496094,55.3016357421875,15.239957362008976,23.675029389499883,-0.7800778971648406,-0.3208470779169216,-100.0,-100.0,-100.0,2.247563362121582,6
27146,242.49949645996094,54.60884094238281,26.54398932802951,22.032566590757796,-1.8313587780063756,-1.0953228071786698,-100.0,-100.0,-100.0,1.286584734916687,6
24796,243.0059356689453,55.13331985473633,15.465409874531744,21.161407732178677,-0.8516111815006681,-0.3309381587334071,-100.0,-100.0,-100.0,1.0349857807159424,6
30746,242.83657836914062,55.25006103515625,14.932400193902868,19.851632083649488,-0.8751810440732295,-0.307376642850585,-100.0,-100.0,-100.0,1.513558268547058,6
33060,243.00534057617188,55.281429290771484,20.17223560286553,19.429889101755986,-1.3664813379343255,-0.5861175193081596,-100.0,-100.0,-100.0,1.8412684202194214,6
23170,241.79042053222656,54.77656936645508,31.767205640062063,18.779266497982874,-2.2294839671125737,-1.7091859881433182,-100.0,-100.0,-100.0,0.8934860825538635,6
28463,242.1083526611328,54.665470123291016,28.191473398429466,18.211212891054764,-1.7097891283635755,-1.2662275058667936,-100.0,-100.0,-100.0,1.470903992652893,6
32919,242.67141723632812,54.32341384887695,43.6359944019451,17.526574258909193,-3.778470163163784,-4.39182492776328,-100.0,-100.0,-100.0,1.7619704008102417,6
30702,241.51303100585938,55.355247497558594,40.91374101072274,17.330337846563268,-3.6276542334536694,-3.5320439618021657,-100.0,-100.0,-100.0,1.5343760251998901,6
34636,241.9446258544922,55.41895294189453,31.08884301208332,17.29880020526278,-1.9194103646562861,-1.6166540146543875,-100.0,-100.0,-100.0,1.9183622598648071,4
17786,241.64199829101562,54.777976989746094,36.21490280343278,16.249660013727418,-2.6547390492365923,-2.439727293424702,-100.0,-100.0,-100.0,0.631221354007721,6
32885,243.12892150878906,55.46460723876953,31.212479570538434,15.589831437800878,-2.0917912168906247,-1.6332513283682346,-100.0,-100.0,-100.0,1.7637819051742554,6
30872,242.50787353515625,55.3974494934082,21.067258900114833,14.964901029179517,-1.3841180857223863,-0.6451225767932379,-100.0,-100.0,-100.0,1.6665430068969727,6
16590,242.8090057373047,55.34782409667969,19.57563347154594,13.60854209651928,-0.9563201444671442,-0.5487823455376694,-100.0,-100.0,-100.0,0.60126131772995,6
21247,241.93515014648438,55.211097717285156,24.183228851457052,13.602520990467013,-1.025299671993971,-0.8810468720331319,-100.0,-100.0,-100.0,0.8235347270965576,6
22085,242.1072998046875,55.03593444824219,16.284059692253773,12.92447440189636,-1.044785605493194,-0.36920807607045913,-100.0,-100.0,-100.0,0.8667441010475159,6
32730,242.66189575195312,55.40290451049805,21.42970398142847,12.368054002963488,-1.354292848191855,-0.6701466917661438,-100.0,-100.0,-100.0,1.705154538154602,4
