id_1,ra_1,dec_1,separation_arcmin_1,total_flux_mjy_1,spectral_index_1,spectral_curvature_1,bmaj_1,bmin_1,pa_1,redshift_1,radioclass_1,id_2,ra_2,dec_2,separation_arcmin_2,total_flux_mjy_2,spectral_index_2,spectral_curvature_2,bmaj_2,bmin_2,pa_2,redshift_2,radioclass_2,match_sep_arcsec
4943,242.60736083984375,55.08000564575195,2.089552369312757,290.1678258938788,-0.5976281220661211,-0.0056638323047818,-100.0,-100.0,-100.0,0.2477413862943649,6,4943,242.60736083984375,55.08000564575195,2.089552369312757,226.2676526896046,-0.5955536661941017,-0.0036745041621574,-100.0,-100.0,-100.0,0.2477413862943649,6,0.0
6647,242.1952362060547,54.84638214111328,17.990777839607365,196.21067312446604,-1.0602241917783763,-0.4569020805510287,-100.0,-100.0,-100.0,0.3047273457050323,6,6647,242.1952362060547,54.84638214111328,17.990777839607365,163.50250409776032,-0.8969723099013353,-0.2836175956822703,-100.0,-100.0,-100.0,0.3047273457050323,6,0.0
8395,241.6568603515625,54.83833312988281,34.24210616275931,130.5697346517366,-2.2014373497369037,-2.0866462700062716,-100.0,-100.0,-100.0,0.3727837800979614,4,8395,241.6568603515625,54.83833312988281,34.24210616275931,149.7210769735067,-1.4909860568477349,-1.1769648821670815,-100.0,-100.0,-100.0,0.3727837800979614,4,0.0
3310,243.0017242431641,55.14866256713867,15.655056950588044,105.00342569384384,-1.2152630094064292,-0.3395971034971156,-100.0,-100.0,-100.0,0.1822159439325332,6,3310,243.0017242431641,55.14866256713867,15.655056950588044,76.717081308273,-1.0934982876936994,-0.2123062124244177,-100.0,-100.0,-100.0,0.1822159439325332,6,0.0
15096,242.83018493652344,55.62100982666016,35.3759354109911,104.20219138609714,-3.423396530604172,-2.2832821777795003,-100.0,-100.0,-100.0,0.5429530739784241,6,15096,242.83018493652344,55.62100982666016,35.3759354109911,77.61560249397435,-2.6503670254750467,-1.2736147110243832,-100.0,-100.0,-100.0,0.5429530739784241,6,0.0
27148,242.37388610839844,54.77803039550781,17.7381691599759,100.42705095856536,-1.098436531845161,-0.4432430268270645,-100.0,-100.0,-100.0,1.1765958070755005,6,27148,242.37388610839844,54.77803039550781,17.7381691599759,81.7198465481541,-0.940012448586982,-0.2753825653371899,-100.0,-100.0,-100.0,1.1765958070755005,6,0.0
27192,242.4631805419922,54.73664855957031,19.159832536521336,70.09606200250717,-1.3116860149667902,-0.5236184352457097,-100.0,-100.0,-100.0,1.2343318462371826,6,27192,242.4631805419922,54.73664855957031,19.159832536521336,54.5117361055001,-1.1249559448367632,-0.3237525647467963,-100.0,-100.0,-100.0,1.2343318462371826,6,0.0
18988,242.85855102539065,55.15412139892578,11.449489732209608,68.938474108341,-1.1084641231757508,-0.1769146578857955,-100.0,-100.0,-100.0,0.6930854320526123,6,18988,242.85855102539065,55.15412139892578,11.449489732209608,47.96992080909545,-1.0447107678556966,-0.1116840404526178,-100.0,-100.0,-100.0,0.6930854320526123,6,0.0
37418,243.2599639892578,54.54322814941406,38.37320564327091,35.44725229538205,-3.2528299506483234,-2.89114606262002,-100.0,-100.0,-100.0,2.469733238220215,6,37418,243.2599639892578,54.54322814941406,38.37320564327091,36.32033633129207,-2.2905689437905936,-1.5594511989124464,-100.0,-100.0,-100.0,2.469733238220215,6,0.0
18987,243.2344970703125,55.29814910888672,26.946985258937055,27.66826239935765,-2.0707852882538145,-1.135493793305162,-100.0,-100.0,-100.0,0.7246481776237488,6,18987,243.2344970703125,55.29814910888672,26.946985258937055,21.532355978915906,-1.6732593741802555,-0.6768100769085458,-100.0,-100.0,-100.0,0.7246481776237488,6,0.0
