id,ra,dec,separation_arcmin,total_flux_mjy,spectral_index,spectral_curvature,bmaj,bmin,pa,redshift,radioclass
32957,242.2642364501953,56.01711654663086,59.084004689933714,346.8936528339446,-4.7880882972760865,-5.905230939003587,-100.0,-100.0,-100.0,1.7921451330184937,6
4943,242.60736083984375,55.08000564575195,2.089552369312757,226.2676526896046,-0.5955536661941017,-0.0036745041621574093,-100.0,-100.0,-100.0,0.24774138629436493,6
6647,242.1952362060547,54.84638214111328,17.990777839607365,163.50250409776032,-0.8969723099013353,-0.2836175956822703,-100.0,-100.0,-100.0,0.30472734570503235,6
8395,241.6568603515625,54.83833312988281,34.24210616275931,149.7210769735067,-1.4909860568477347,-1.1769648821670815,-100.0,-100.0,-100.0,0.3727837800979614,4
3311,241.5021209716797,55.72932434082031,54.933504255073146,132.28054206589377,-4.435648999911651,-4.480136400591397,-100.0,-100.0,-100.0,0.1998153179883957,6
10239,243.23072814941406,54.24192428588867,53.41613773725964,95.69506053650518,-4.117552233232402,-4.062400758240744,-100.0,-100.0,-100.0,0.4247690439224243,6
32956,244.21994018554688,54.97956085205078,56.55404345588384,89.43472711029885,-4.779205479604813,-4.98186229353209,-100.0,-100.0,-100.0,1.7243854999542236,6
27148,242.37388610839844,54.77803039550781,17.7381691599759,81.7198465481541,-0.9400124485869821,-0.27538256533718997,-100.0,-100.0,-100.0,1.1765958070755005,6
15096,242.83018493652344,55.621009826660156,35.3759354109911,77.61560249397435,-2.6503670254750467,-1.2736147110243832,-100.0,-100.0,-100.0,0.5429530739784241,6
3310,243.00172424316406,55.14866256713867,15.655056950588044,76.717081308273,-1.0934982876936994,-0.2123062124244177,-100.0,-100.0,-100.0,0.18221594393253326,6
27149,241.68743896484375,54.31864929199219,53.65079536593013,55.57066547191197,-3.893460777903063,-4.123965631364184,-100.0,-100.0,-100.0,1.185646653175354,6
27192,242.4631805419922,54.73664855957031,19.159832536521336,54.5117361055001,-1.1249559448367632,-0.3237525647467963,-100.0,-100.0,-100.0,1.2343318462371826,6
18988,242.85855102539062,55.15412139892578,11.449489732209608,47.96992080909545,-1.0447107678556966,-0.11168404045261784,-100.0,-100.0,-100.0,0.6930854320526123,6
